wmpid,full_name,opponents,opponent_names
WMPID2406,Mark Tashjian,WMPID2814|WMPID892,Robert May|Mark Tashjian|Seth Moulton
WMPID2770,Donnie Dionicio Palmer,WMPID1142,Donnie Dionicio Palmer|Ayanna Pressley
WMPID4697,Michael Ruiz,WMPID5099|WMPID804,Michael Ruiz|Robert Burke|Stephen F Lynch
WMPID5099,Robert Burke,WMPID4697|WMPID804,Michael Ruiz|Robert Burke|Stephen F Lynch
WMPID804,Stephen F Lynch,WMPID4697|WMPID5099,Michael Ruiz|Robert Burke|Stephen F Lynch
WMPID2900,Mark Littles,WMPID317|WMPID2893|WMPID1974|WMPID1472,Bill Keating|Mark Littles|Jesse Brown|Grant Smith Ellis|Dan Sullivan
WMPID2893,Jesse Brown,WMPID317|WMPID2900|WMPID1974|WMPID1472,Bill Keating|Mark Littles|Jesse Brown|Grant Smith Ellis|Dan Sullivan
WMPID1974,Grant Smith Ellis,WMPID317|WMPID2900|WMPID2893|WMPID1472,Bill Keating|Mark Littles|Jesse Brown|Grant Smith Ellis|Dan Sullivan
WMPID1472,Dan Sullivan,WMPID317|WMPID2900|WMPID2893|WMPID1974,Bill Keating|Mark Littles|Jesse Brown|Grant Smith Ellis|Dan Sullivan
WMPID4259,Heather Renay Mizeur,WMPID5147|WMPID1144,Heather Renay Mizeur|Daniel Frank Thibeault|Andy Harris
WMPID5147,Daniel Frank Thibeault,WMPID4259|WMPID1144,Heather Renay Mizeur|Daniel Frank Thibeault|Andy Harris
WMPID805,Dutch Ruppersberger,WMPID3195|WMPID1735|WMPID3063,Dutch Ruppersberger|Joe Kelley|Nicolee Ambrose|David Wallace
WMPID3195,Joe Kelley,WMPID805|WMPID1735|WMPID3063,Dutch Ruppersberger|Joe Kelley|Nicolee Ambrose|David Wallace
WMPID3388,Yuripzy Morgan,WMPID3194|WMPID984,Yuripzy Morgan|Antonio Pitocco|John Sarbanes
WMPID1735,Nicolee Ambrose,WMPID805|WMPID3195|WMPID3063,Dutch Ruppersberger|Joe Kelley|Nicolee Ambrose|David Wallace
WMPID3194,Antonio Pitocco,WMPID3388|WMPID984,Yuripzy Morgan|Antonio Pitocco|John Sarbanes
WMPID4471,Jeff Warner,WMPID2518,Jeff Warner|Glenn Ivey
