cand_fec,first_name,last_name,female
S2TX00312, Ted,Cruz,FALSE
S8UT00242, Mike,Kennedy,FALSE
S8UT00176, Mitt,Romney,FALSE
S2VA00142, Tim,Kaine,FALSE
S8VA00297, Corey,Stewart,FALSE
S8WA00194, Maria,Cantwell,TRUE
S8WA00319, Susan,Hutchison,TRUE
S2WI00219, Tammy,Baldwin,TRUE
S8WI00216, Kevin,Nicholson,FALSE
S8WI00224, Leah,Vukmir,TRUE
S8WV00150, Don,Blankenship,FALSE
S8WV00127, Evan,Jenkins,FALSE
S0WV00090, Joe,Manchin,FALSE
S8WV00143, Patrick,Morrisey,FALSE
,,,
H0AL01097, James,Averhart,FALSE
H0AL01055, Jerry,Carl,FALSE
H0AL01089, Bill,Hightower,FALSE
H0AL01071, Chris,Pringle,FALSE
H0AL02145, Jeff,Coleman,FALSE
H0AL02202, Phyllis,Harvey-Hall,TRUE
H0AL02194, Terri,Hasdorff,TRUE
H0AL02152, Troy,King,FALSE
H8AL02171, Barry,Moore,FALSE
H6AL02159, Bob,Rogers,FALSE
H0AL02178, Jessica,Taylor,TRUE
H0AL05205, Chris,Lewis,FALSE
H0AR02206, Joyce,Elliott,TRUE
H0AZ02190, Brandon,Martin,FALSE
H0AZ02265, Noran Eric,Ruden,FALSE
H0AZ04535, Anne Marie,Ward,TRUE
H0AZ06084, Karl,Gentles,FALSE
H8CA01257, Audrey,Denney,TRUE
H0CA04175, Brynne,Kennedy,TRUE
H0CA16120, Kevin,Cookingham,FALSE
H0CA20122, Jeff,Gorman,FALSE
H8CA10167, Tj,Cox,FALSE
H0CA22102, Phil,Arballo,FALSE
H0CA23167, Kim,Mangone,TRUE
H0CA24157, Andy,Caldwell,FALSE
H0CA25162, Mike,Garcia,FALSE
H0CA25154, Christy,Smith,TRUE
H0CA25170, Cenk,Uygur,FALSE
H0CA28182, Eric,Early,FALSE
H4CA23011, Maxine,Waters,TRUE
H8CA50098, Ammar,Campa Najjar,FALSE
H0CA50145, Carl,Demaio,FALSE
H0CA50178, Darrell,Issa,FALSE
H0CA52083, Jim,Debello,FALSE
H0CA53107, Georgette,Gomez,TRUE
H0CA53115, Sara,Jacobs,TRUE
H0CO03165, Lauren,Boebert,TRUE
H0CO03157, James,Iacino,FALSE
H0CO05129, Jillian,Freeland,TRUE
H0CO06119, Steve,House,FALSE
H2CT02112, Joe,Courtney,FALSE
H0CT03072, Rosa,Delauro,TRUE
H0CT03155, Margaret,Streicker,TRUE
H8FL01107, Phil,Ehr,FALSE
H0FL03175, Kat,Cammack,TRUE
H0FL03233, Ryan,Chamberlin,FALSE
H0FL03241, Todd,Chase,FALSE
H8FL03046, Judson,Sapp,FALSE
H0FL03209, James,St. George,FALSE
H0FL04140, Erick,Aguilar,FALSE
H0FL04157, Donna,Deegan,TRUE
H6FL04105, John,Rutherford,FALSE
H0FL05147, Albert,Chester,FALSE
H0FL02086, Al,Lawson,FALSE
H0FL13158, Anna Paulina,Luna,TRUE
H6FL14112, Christine,Quinn,TRUE
H0FL15104, Scott,Franklin,FALSE
H0FL16094, Margaret,Good,TRUE
H0FL18207, Pam,Keith,TRUE
H0FL18199, Oz,Vazquez,FALSE
H0FL19221, Casey,Askar,FALSE
H0FL19205, Byron,Donalds,FALSE
H0FL19122, Dane,Eagle,FALSE
H0FL19114, William,Figlesthaler,FALSE
H8FL20032, Sheila,Mccormick,TRUE
H2FL14053, Lois,Frankel,TRUE
H0FL24221, Howard,Knepper,FALSE
H0FL26036, Carlos,Gimenez,FALSE
H0GA01078, Joyce Marie,Griggs,TRUE
H0GA05327, Kwanza,Hall,FALSE
H0GA07323, Zahra,Karinshak,TRUE
H0GA07273, Rich,Mccormick,FALSE
H0GA14089, John,Barge,FALSE
H0GA07257, Ben,Bullock,FALSE
H0GA14048, John,Cowan,FALSE
H0GA14030, Clayton,Fuller,FALSE
H0GA06192, Marjorie,Greene,TRUE
H0GA14113, Matt,Laughridge,FALSE
H0HI02189, Noelle,Famera,TRUE
H0IA01174, Ashley,Hinson,TRUE
H0IA02156, Rita,Hart,TRUE
H0IA02180, Mariannette,Miller-Meeks,TRUE
H0IA04145, Randy,Feenstra,FALSE
H8IA04106, J.d.,Scholten,FALSE
H0ID01311, Rudy,Soto,FALSE
H0IL12100, Ray,Lenzi,FALSE
H8IL13150, Betsy Dirksen,Londrigan,TRUE
H8IL14083, Jim,Oberweis,FALSE
H0IL15186, Darren,Duncan,FALSE
H0IL15129, Mary,Miller,TRUE
H0IL17083, Esther Joy,King,TRUE
H8IN02177, Pat,Hackett,TRUE
H0IN02232, Ellen,Marks,TRUE
H0IN05201, Micah,Beckwith,FALSE
H0IN05334, Carl,Brizzi,FALSE
H0IN05219, Christina,Hale,TRUE
H0IN05276, Beth,Henderson,TRUE
H0IN05326, Victoria,Spartz,TRUE
H0KS01198, Bill,Clifford,FALSE
H0KS01123, Tracey,Mann,FALSE
H0KS02196, Michelle,De La Isla,TRUE
H0KS02188, Jake,Laturner,FALSE
H0KS03236, Amanda,Adkins,TRUE
H0KS03228, Sara Hart,Weir,TRUE
H2KY04121, Thomas,Massie,FALSE
H0KY06179, Josh,Hicks,FALSE
H0MA04192, Jake,Auchincloss,FALSE
H0MA04168, Becky,Grossman,TRUE
H0MA04176, Alan,Khazei,FALSE
H0MA04143, Ihssane,Leckey,TRUE
H0MA04267, Natalia,Linos,TRUE
H0MA04184, Jesse,Mermell,TRUE
H0MA04242, Chris,Zannetos,FALSE
H0MA05132, Caroline,Colarusso,TRUE
H0MD01232, Mia,Mason,TRUE
H0MD07122, Maya Rockeymoore,Cummings,TRUE
H0MD07163, F Michael,Higginbotham,FALSE
H0MD07387, Amber,Ivey,TRUE
H0MD07197, Kim,Klacik,TRUE
H0ME02075, Adrienne,Bennett,TRUE
H0ME02067, Eric,Brakey,FALSE
H0ME02083, Dale,Crafts,FALSE
H0MI03290, Lynn,Afendoulis,TRUE
H0MI03308, Peter,Meijer,FALSE
H0MI03316, Hillary,Scholten,TRUE
H2MI05119, Dan,Kildee,FALSE
H0MI06152, Jon,Hoadley,FALSE
