candidate,fec_id,office
Charles Langworthy,H0MI09180,U.S. House
Charles Winn,H0CO02225,U.S. House
Charleston Malkemus,H0FL21177,U.S. House
Charlie Crist,H6FL13205,U.S. House
Charlotte Bergmann,H8TN09114,U.S. House
Chase Carbajal,H0TX01132,U.S. House
Chase Oliver,H0GA05319,U.S. House
Chele Farley,H0NY18172,U.S. House
Chellie Pingree,H8ME01120,U.S. House
Cheri Bustos,H2IL17071,U.S. House
Chip Coldiron,H0IN03230,U.S. House
Chip Roy,H8TX21307,U.S. House
Chris Brimmer,H0VT00148,U.S. House
Chris Bubser,H0CA08101,U.S. House
Chris Christensen,H0OR01194,U.S. House
Chris Claytor,H2TX27117,U.S. House
Chris Coons,S0DE00092,U.S. Senate
Chris Duncan,H8TX08122,U.S. House
Chris Finley,H8TN06169,U.S. House
Chris Gibbs,H0OH04119,U.S. House
Chris Jacobs,H0NY27090,U.S. House
Chris Janicek,S8NE00216,U.S. Senate
Chris Kelley,H0MN05186,U.S. House
Chris Milton,H0CO03173,U.S. House
Chris Palombi,H0MD05225,U.S. House
Chris Pappas,H8NH01210,U.S. House
Chris Smith,H8NJ04014,U.S. House
Chris Stewart,H2UT02324,U.S. House
Chrissy Houlahan,H8PA06087,U.S. House
Christina Finello,H0PA01325,U.S. House
Christina Hagan,H8OH16108,U.S. House
Christina Hale,H0IN05219,U.S. House
Christine Bish,H0CA06170,U.S. House
Christine Olivo,H0FL23041,U.S. House
Christine Quinn,H6FL14112,U.S. House
Christopher Cumings,S0AK00212,U.S. Senate
Christopher Hale,H8TN04107,U.S. House
Christopher Monday,H8TN06078,U.S. House
Christopher Morris-Perry,H0NY13157,U.S. House
Christopher Schell,H0TX04227,U.S. House
Christopher Ward,H0NC07140,U.S. House
Christopher Zannetos,H0MA04242,U.S. House
Christy Mowrey,H0TX32137,U.S. House
Christy Smith,H0CA25154,U.S. House
Chuck Fleischmann,H0TN03254,U.S. House
Cindy Axne,H8IA03124,U.S. House
Cindy Hyde-Smith,S8MS00261,U.S. Senate
Cindy Lyn Banyai,H0FL19106,U.S. House
Cindy Werner,H0WI04132,U.S. House
Claire Gustafson,H4NJ01118,U.S. House
Clark Paterson,H2TX01070,U.S. House
Claudia Tenney,H4NY22051,U.S. House
Clay Higgins,H6LA03148,U.S. House
Clay Hill,H6FL08197,U.S. House
Clayton Walker,S4SD00114,U.S. Senate
Cliff Bentz,H0OR02127,U.S. House
Clifton Kilby,S0GA00385,U.S. Senate
Clint Curtis,H0FL06103,U.S. House
Colby C. James,H0LA02234,U.S. House
Colin Allred,H8TX32098,U.S. House
Collin Peterson,H2MN07014,U.S. House
Conor Lamb,H8PA18181,U.S. House
Constantine Jean-Pierre,H0NY09122,U.S. House
Corey Bailey,H0WA08137,U.S. House
Cori Bush,H8MO01143,U.S. House
Cory Booker,S4NJ00185,U.S. Senate
Cory Gardner,S4CO00395,U.S. Senate
Craig Cameron,H8IL17045,U.S. House
Craig Keller,H4WA07073,U.S. House
Craig Wildenradt,H0TN05341,U.S. House
Cris Ericson,H8VT00141,U.S. House
Cynthia Lummis,S0WY00137,U.S. Senate
Cynthia Wallace,H0NC09286,U.S. House
Cyrus Sajna,H0TX14234,U.S. House
Dakinya Jefferson,H0TX30107,U.S. House
Dale Crafts,H0ME02083,U.S. House
Dale Mensing,H4CA02098,U.S. House
Damon Cerreta,H0CT04237,U.S. House
Dan Ahlers,S0SD00070,U.S. Senate
Dan Bishop,H0NC09187,U.S. House
Dan Crenshaw,H8TX02166,U.S. House
Dan Kildee,H2MI05119,U.S. House
Dan Meuser,H8PA10147,U.S. House
Dan Newhouse,H4WA04104,U.S. House
Dan Rodimer,H0NV03132,U.S. House
Dan Sullivan,S4AK00214,U.S. Senate
Dana Balter,H8NY24090,U.S. House
Dana Barrett,H0GA11036,U.S. House
Dana Cottrell,H8FL11130,U.S. House
Dana Ferguson,H0MI01211,U.S. House
Dane Eagle,H0FL19122,U.S. House
Dani Brzozowski,H0IL16184,U.S. House
Daniel Burke,S0NJ00266,U.S. Senate
Daniel Clyde Cummings,H0UT03235,U.S. House
Daniel Craig Ross,H0NY03067,U.S. House
Daniel Feehan,H8MN01279,U.S. House
Daniel Gade,S0VA00146,U.S. Senate
Daniel Kemph,H8KY06180,U.S. House
Daniel Vayda,H0PA18105,U.S. House
Daniel Webster,H0FL08208,U.S. House
Daniel Whitfield,S0AR00218,U.S. Senate
Daniel Wood,H0AZ03461,U.S. House
Danielle Vanhelsing,S0ME00079,U.S. Senate
Danny K Davis,H4IL07037,U.S. House
Danny Malouf,S0IL00618,U.S. Senate
Danyell Lanier,H0OK02210,U.S. House
Daren Craig Johnson,H0FL11228,U.S. House
Darin LaHood,H6IL18088,U.S. House
Darrell Issa,H0CA50178,U.S. House
Darrell McGuire,S0GA00518,U.S. Senate
Darren Hamilton,H0TX24274,U.S. House
Darren Parry,H0UT01213,U.S. House
Darren Soto,H6FL09179,U.S. House
Dartanyon Williams,H0LA06052,U.S. House
Daryl Farrow,H0NC03123,U.S. House
Daryle Houston,H0MI14248,U.S. House
Dasha Pruett,H0PA05094,U.S. House
Dave Cavell,H0MA04200,U.S. House
Dave Giles,H6AZ09010,U.S. House
Dave Saulibio,H8WA05227,U.S. House
Dave Wilson,H0WA05133,U.S. House
David Cicilline,H0RI01073,U.S. House
David Dudenhoefer,H0MI13471,U.S. House
David Franks,H0NY15210,U.S. House
David Gokhshtein,H0NY01178,U.S. House
David Kim,H0CA34131,U.S. House
David Krucoff,H0DC01015,U.S. House
David Kustoff,H2TN07103,U.S. House
David McKinley,H0WV01072,U.S. House
David P Joyce,H2OH14064,U.S. House
David Parker,H0NC10193,U.S. House
David Perdue,S4GA11285,U.S. Senate
David Price,H6NC04037,U.S. House
David Richter,H0NJ02155,U.S. House
David Rosa,H0MA09027,U.S. House
David Rouzer,H2NC07096,U.S. House
David Schweikert,H4AZ06045,U.S. House
David Scott,H2GA13012,U.S. House
David Sullivan,H0CT05200,U.S. House
David Torres,H8PA02110,U.S. House
David Trone,H6MD08549,U.S. House
David Valadao,H2CA20094,U.S. House
David Weikle,S0SC00362,U.S. Senate
David Wilson Brown,H8NC10097,U.S. House
David Young,H4IA03115,U.S. House
Dean Hill,S0TN00300,U.S. Senate
Dean Johnson,H0WA10091,U.S. House
Dean Phillips,H8MN03143,U.S. House
Debbie Dingell,H4MI12079,U.S. House
Debbie Lesko,H8AZ08158,U.S. House
Debbie Mucarsel-Powell,H8FL26039,U.S. House
Debbie Wasserman Schultz,H4FL20023,U.S. House
Deborah Jackson,S0GA00591,U.S. Senate
Deborah Ross,H0NC02125,U.S. House
Debra Haaland,H8NM01331,U.S. House
Delina DiSanto,H8AZ04165,U.S. House
Demetrick Pennie,H0TX18276,U.S. House
Demetrius Fugate,H0FL23116,U.S. House
Demondria Jefferson,H0GA05244,U.S. House
Dennis Clark,H0TN09111,U.S. House
Dennis Grace,H0NE01146,U.S. House
Dennis Misigoy,H0FL26044,U.S. House
Derek Kilmer,H2WA06129,U.S. House
Derek Petteys,S0KY00412,U.S. Senate
Derrick Edwards,S6LA00342,U.S. Senate
Derrick Grayson,S0GA00658,U.S. Senate
Derrick Van Orden,H0WI03175,U.S. House
Desiree Tims,H0OH10116,U.S. House
Devin Nunes,H8CA20059,U.S. House
Devin Pandy,H0GA09170,U.S. House
Devin Thorpe,H0UT03193,U.S. House
Diana DeGette,H6CO01141,U.S. House
Diana Harshbarger,H0TN01118,U.S. House
Diane Mitsch Bush,H8CO03192,U.S. House
Dick Durbin,S6IL00151,U.S. Senate
Dina Titus,H8NV03036,U.S. House
Don Bacon,H6NE02125,U.S. House
Don Beyer,H4VA08224,U.S. House
Don Blankenship,P00014209,President
Don Bolduc,S0NH00326,U.S. Senate
Don Cole,H0GA02258,U.S. House
Don Norcross,H4NJ01084,U.S. House
Don Young,H6AK00045,U.S. House
Donald Eason,H0MI13513,U.S. House
Donald M Payne Jr.,H2NJ10154,U.S. House
Donald McEachin,H6VA04061,U.S. House
Donald Robbio,H0RI02246,U.S. House
Donald Trump,P80001571,President
Donna Deegan,H0FL04157,U.S. House
Donna Imam,H0TX31097,U.S. House
Donna Shalala,H8FL27193,U.S. House
Doris Matsui,H6CA05195,U.S. House
Dorothy Benford,H8MS02044,U.S. House
Doug Basler,H4WA09061,U.S. House
Doug Collins,S0GA00567,U.S. Senate
Doug Jones,S0AL00156,U.S. Senate
Doug LaMalfa,H2CA02142,U.S. House
Doug McKinley,H6WA04141,U.S. House
Douglas L Lamborn,H6CO05159,U.S. House
Douglas Tuman,H0NY04156,U.S. House
Drew Ferguson,H6GA03113,U.S. House
Duane Whitmer,H0NY27082,U.S. House
Dustin C. Hobbs,H0NE03258,U.S. House
Dustin Murphy,S0LA00352,U.S. Senate
Dusty Johnson,H8SD01055,U.S. House
Dutch Ruppersberger,H2MD02160,U.S. House
Dwight Evans,H6PA02171,U.S. House
Dylan Conley,H0RI02295,U.S. House
Earl Blumenauer,H6OR03064,U.S. House
Ed Baker,H0OR03133,U.S. House
Ed Bridges,H0NV03066,U.S. House
Ed Case,H2HI02128,U.S. House
Ed Dennehy,H0NY04164,U.S. House
Ed Markey,S4MA00028,U.S. Senate
Ed Perlmutter,H6CO07023,U.S. House
Ed Tarver,S0GA00583,U.S. Senate
Eddie Bernice Johnson,H2TX00015,U.S. House
Edgar Reyes,H0FL09123,U.S. House
Edgardo Silva,H0FL03274,U.S. House
Edward James Mazzuchelli,S0MA00240,U.S. Senate
Edward Lang,H0NY14361,U.S. House
Edward Small Jr,H0TX09226,U.S. House
Edward Strauss,H0IN01275,U.S. House
Elaine Luria,H8VA02111,U.S. House
Eleanor Holmes Norton,H0DC00058,U.S. House
Eli Clemmer,H0NH02272,U.S. House
Elise Stefanik,H4NY21079,U.S. House
Elissa Slotkin,H8MI08102,U.S. House
Elizabeth Hernandez,H0TX08129,U.S. House
Elizabeth Joy,H0NY20111,U.S. House
Elizabeth Kreiselmaier,H0WA06081,U.S. House
Elizabeth McLeod,S0TN00227,U.S. Senate
Ellen Kizik,H0IN05193,U.S. House
Elliott Scheirman,H0TX02114,U.S. House
Emanuel Cleaver,H4MO05234,U.S. House
Eric Early,H0CA28182,U.S. House
Eric Esshaki,H0MI11129,U.S. House
Eric Swalwell,H2CA15094,U.S. House
Erika Stotts Pearson,H6TN08250,U.S. House
Erika Weaver,H0IL15194,U.S. House
Erin Cruz,H0CA36193,U.S. House
Errol Webber,H0CA37167,U.S. House
Ervan Katari Miller,H0MN05145,U.S. House
Eshan Patel,H2NC01214,U.S. House
Esther Joy King,H0IL17083,U.S. House
Eugene DePasquale,H0PA10110,U.S. House
Evan Jones,H0WA04110,U.S. House
Evelyn Rogers,H6OK03165,U.S. House
F. Bruce Riley,S0WV00223,U.S. Senate
Fabian Cordova Vasquez,H0TX33010,U.S. House
Filemon Vela,H2TX27190,U.S. House
Ford Fischer,H0DC00231,U.S. House
Frank D Lucas,H4OK06056,U.S. House
Frank Gilbert,H0AR04095,U.S. House
Frank Harris,H8KY06222,U.S. House
Frank J. Mrvan,H0IN01150,U.S. House
Frank Pallone Jr.,H8NJ03073,U.S. House
Frank Pallotta,H0NJ05174,U.S. House
Frank Polo,H0FL27067,U.S. House
Fred Keller,H9PA12018,U.S. House
Fred Upton,H6MI04113,U.S. House
Frederica Wilson,H0FL17068,U.S. House
Frederick Mayock,S0MA00174,U.S. Senate
Fredrick Erickson,H0WI06202,U.S. House
French Hill,H4AR02141,U.S. House
G K Butterfield,H4NC01046,U.S. House
Garfield Wallace,H0NY08108,U.S. House
Garret Graves,H4LA06153,U.S. House
Gary Adler,H0FL05170,U.S. House
Gary Heyer,H0MN03132,U.S. House
Gary Koniz,H0FL04116,U.S. House
Gary Palmer,H4AL06098,U.S. House
Gary Peters,S4MI00355,U.S. Senate
Gary Popkin,H4NY11096,U.S. House
Gary Swing,S0CO00542,U.S. Senate
Gary Wegman,H6PA16338,U.S. House
Gaylon Kent,S4CO00403,U.S. Senate
Gena Ross,H0MO06222,U.S. House
Gene Rechtzigel,H6MN04244,U.S. House
Gene Siadek,S0NE00155,U.S. Senate
Genevieve Collins,H0TX32087,U.S. House
Gennaro Napolitano,H0AZ06100,U.S. House
George Devolder-Santos,H0NY03083,U.S. House
George McDermott,H4MD04071,U.S. House
George Mitris,H0NY25094,U.S. House
Georgette Gomez,H0CA53107,U.S. House
Gerald Beloin,S0NH00284,U.S. Senate
Gerry Connolly,H8VA11062,U.S. House
Gerry Nolan,H0FL06145,U.S. House
Gil Cisneros,H8CA39174,U.S. House
Gilbert Midonnet,H0NY07126,U.S. House
Gilead Towne,H0NH02280,U.S. House
Gina Ortiz Jones,H8TX23121,U.S. House
Glenn S Grothman,H4WI06048,U.S. House
Glenn Thompson,H8PA05071,U.S. House
Grace Meng,H2NY06116,U.S. House
Grace Napolitano,H8CA34068,U.S. House
Greg Murphy,H0NC03172,U.S. House
Greg Musselwhite,H0FL20120,U.S. House
Greg Pence,H8IN06129,U.S. House
Greg Raths,H4CA45089,U.S. House
Greg Stanton,H8AZ09040,U.S. House
Greg Steube,H8FL17053,U.S. House
Gregorio Sablan,H8MP00041,U.S. House
Gregory Coll,H0MD08203,U.S. House
Gregory E. Fitch,S0LA00295,U.S. Senate
Gregory Jones,S0MI00197,U.S. Senate
Gregory W Meeks,H8NY06048,U.S. House
Gretchen Driskell,H0MI07150,U.S. House
Gus Bilirakis,H6FL09070,U.S. House
Gus Trujillo,H0TX13152,U.S. House
Gustavo Rivera,H0NY15228,U.S. House
Guy Reschenthaler,H8PA18199,U.S. House
Gwen Moore,H4WI04183,U.S. House
Hakeem Jeffries,H2NY10092,U.S. House
Hal Rogers,H0KY05015,U.S. House
Haley Stevens,H8MI11254,U.S. House
Hank Gilbert,H0TX01108,U.S. House
Hank Johnson,H6GA04129,U.S. House
Hank Linderman,H8KY02080,U.S. House
Hans Tinsley,H0MN01094,U.S. House
Harley Rouda,H8CA48035,U.S. House
Harrison Shuler,H0SC06229,U.S. House
Harry Burger,H0NY02309,U.S. House
Hector Rivera,H0FL24213,U.S. House
Heerak Christian Kim,H0VA08172,U.S. House
